iter	Passed	Remaining
0	7	7381
1	15	7952
2	22	7539
3	30	7533
4	37	7405
5	44	7349
6	51	7315
7	58	7238
8	65	7221
9	72	7202
10	80	7207
11	86	7123
12	93	7081
13	100	7072
14	106	7011
15	114	7011
16	120	6984
17	127	6980
18	134	6939
19	141	6919
20	148	6942
21	155	6922
22	163	6934
23	169	6902
24	176	6899
25	183	6863
26	189	6838
27	197	6859
28	203	6828
29	211	6825
30	217	6800
31	224	6782
32	231	6773
33	237	6757
34	244	6747
35	251	6723
36	258	6718
37	264	6700
38	271	6686
39	278	6695
40	285	6682
41	292	6681
42	300	6678
43	308	6709
44	315	6702
45	322	6682
46	329	6690
47	336	6678
48	344	6688
49	350	6664
50	357	6653
51	363	6629
52	369	6610
53	377	6609
54	383	6589
55	390	6584
56	397	6571
57	403	6555
58	411	6557
59	417	6539
60	424	6532
61	430	6516
62	436	6499
63	443	6493
64	450	6484
65	457	6481
66	464	6470
67	472	6475
68	479	6465
69	485	6455
70	492	6441
71	498	6423
72	505	6415
73	511	6401
74	517	6384
75	524	6378
76	530	6362
77	537	6350
78	543	6334
79	549	6317
80	556	6311
81	562	6300
82	572	6324
83	592	6465
84	605	6519
85	616	6555
86	625	6559
87	632	6554
88	640	6557
89	647	6542
90	657	6565
91	675	6666
92	692	6749
93	702	6767
94	712	6786
95	719	6772
96	725	6757
97	733	6750
98	740	6737
99	747	6724
100	754	6716
101	760	6695
102	767	6679
103	773	6661
104	779	6641
105	786	6629
106	792	6610
107	798	6595
108	804	6579
109	810	6561
110	817	6550
111	823	6530
112	829	6514
113	836	6502
114	843	6490
115	850	6483
116	856	6467
117	863	6454
118	870	6444
119	876	6428
120	883	6421
121	890	6405
122	897	6397
123	903	6385
124	910	6371
125	918	6371
126	924	6355
127	932	6352
128	939	6343
129	947	6341
130	953	6328
131	960	6315
132	968	6310
133	974	6296
134	981	6288
135	987	6275
136	995	6267
137	1001	6254
138	1007	6239
139	1014	6233
140	1020	6217
141	1026	6204
142	1033	6192
143	1039	6177
144	1045	6166
145	1051	6151
146	1057	6136
147	1064	6126
148	1070	6111
149	1076	6102
150	1082	6087
151	1089	6075
152	1096	6069
153	1102	6055
154	1108	6045
155	1114	6031
156	1120	6019
157	1128	6011
158	1134	6002
159	1142	5995
160	1148	5984
161	1154	5972
162	1162	5967
163	1168	5955
164	1175	5948
165	1181	5937
166	1187	5925
167	1194	5917
168	1201	5905
169	1208	5899
170	1214	5888
171	1221	5878
172	1228	5874
173	1235	5862
174	1242	5855
175	1247	5842
176	1254	5832
177	1261	5823
178	1267	5813
179	1274	5805
180	1280	5793
181	1286	5781
182	1293	5774
183	1299	5762
184	1306	5754
185	1311	5741
186	1317	5730
187	1325	5723
188	1331	5712
189	1338	5708
190	1345	5699
191	1351	5688
192	1359	5683
193	1365	5672
194	1371	5662
195	1378	5654
196	1384	5642
197	1391	5634
198	1397	5623
199	1403	5614
200	1409	5602
201	1415	5590
202	1421	5582
203	1428	5573
204	1435	5565
205	1442	5559
206	1449	5551
207	1456	5545
208	1462	5536
209	1469	5529
210	1476	5521
211	1482	5512
212	1490	5505
213	1496	5496
214	1503	5490
215	1510	5482
216	1517	5475
217	1524	5468
218	1531	5462
219	1538	5456
220	1544	5445
221	1552	5439
222	1558	5429
223	1564	5419
224	1571	5413
225	1577	5404
226	1584	5397
227	1590	5386
228	1596	5376
229	1603	5367
230	1609	5356
231	1615	5348
232	1621	5337
233	1627	5326
234	1633	5318
235	1639	5308
236	1645	5298
237	1652	5291
238	1658	5281
239	1665	5273
240	1671	5263
241	1677	5253
242	1685	5249
243	1690	5239
244	1697	5231
245	1703	5221
246	1709	5211
247	1715	5202
248	1722	5194
249	1728	5184
250	1734	5176
251	1740	5166
252	1746	5158
253	1753	5150
254	1759	5141
255	1766	5134
256	1772	5124
257	1779	5117
258	1785	5107
259	1791	5098
260	1797	5089
261	1805	5084
262	1811	5077
263	1817	5067
264	1823	5057
265	1829	5049
266	1835	5039
267	1841	5030
268	1848	5022
269	1854	5013
270	1861	5006
271	1867	4998
272	1873	4989
273	1880	4983
274	1887	4975
275	1893	4967
276	1899	4958
277	1905	4949
278	1912	4942
279	1919	4935
280	1925	4926
281	1932	4919
282	1938	4910
283	1945	4904
284	1951	4895
285	1958	4890
286	1964	4881
287	1969	4869
288	1975	4861
289	1981	4851
290	1987	4842
291	1994	4835
292	2000	4827
293	2006	4819
294	2012	4810
295	2019	4802
296	2025	4794
297	2031	4785
298	2037	4776
299	2044	4769
300	2050	4761
301	2057	4754
302	2063	4746
303	2069	4737
304	2075	4730
305	2081	4721
306	2087	4713
307	2094	4704
308	2099	4695
309	2106	4688
310	2112	4679
311	2118	4671
312	2125	4665
313	2131	4656
314	2138	4650
315	2146	4646
316	2155	4643
317	2163	4639
318	2171	4635
319	2178	4629
320	2187	4627
321	2198	4628
322	2206	4624
323	2213	4618
324	2222	4615
325	2229	4609
326	2235	4601
327	2242	4595
328	2248	4586
329	2255	4578
330	2261	4569
331	2267	4561
332	2274	4554
333	2279	4545
334	2286	4538
335	2292	4529
336	2298	4522
337	2305	4516
338	2311	4507
339	2318	4501
340	2324	4492
341	2330	4484
342	2337	4476
343	2343	4468
344	2348	4459
345	2355	4452
346	2361	4444
347	2367	4436
348	2373	4427
349	2380	4420
350	2387	4414
351	2392	4405
352	2399	4397
353	2405	4390
354	2412	4383
355	2419	4377
356	2425	4369
357	2432	4361
358	2438	4354
359	2445	4347
360	2452	4341
361	2458	4332
362	2465	4326
363	2471	4318
364	2477	4310
365	2485	4304
366	2491	4297
367	2498	4291
368	2504	4282
369	2509	4272
370	2515	4264
371	2521	4256
372	2527	4248
373	2533	4241
374	2539	4232
375	2546	4225
376	2552	4218
377	2558	4209
378	2564	4202
379	2570	4194
380	2576	4186
381	2584	4180
382	2589	4172
383	2596	4165
384	2602	4156
385	2608	4149
386	2615	4143
387	2621	4134
388	2627	4127
389	2633	4119
390	2639	4111
391	2646	4104
392	2652	4097
393	2658	4089
394	2665	4083
395	2672	4075
396	2678	4068
397	2685	4062
398	2692	4055
399	2699	4049
400	2705	4041
401	2712	4034
402	2718	4027
403	2725	4020
404	2732	4014
405	2738	4006
406	2745	4000
407	2751	3993
408	2758	3986
409	2766	3980
410	2771	3972
411	2780	3967
412	2785	3959
413	2792	3953
414	2799	3946
415	2805	3938
416	2813	3933
417	2819	3925
418	2826	3919
419	2833	3912
420	2839	3905
421	2847	3899
422	2853	3891
423	2860	3885
424	2866	3878
425	2873	3871
426	2879	3864
427	2886	3857
428	2893	3851
429	2898	3842
430	2902	3832
431	2910	3826
432	2915	3817
433	2921	3810
434	2928	3804
435	2935	3796
436	2942	3790
437	2948	3783
438	2955	3776
439	2962	3769
440	2968	3762
441	2975	3756
442	2979	3746
443	2985	3738
444	2993	3733
445	2999	3725
446	3006	3719
447	3012	3711
448	3018	3704
449	3026	3698
450	3032	3691
451	3039	3685
452	3045	3677
453	3051	3670
454	3059	3664
455	3063	3654
456	3072	3650
457	3079	3643
458	3086	3637
459	3092	3630
460	3099	3623
461	3106	3617
462	3112	3609
463	3119	3604
464	3126	3597
465	3132	3589
466	3139	3582
467	3144	3574
468	3149	3565
469	3155	3558
470	3160	3549
471	3167	3543
472	3173	3535
473	3179	3528
474	3186	3521
475	3193	3515
476	3200	3509
477	3207	3502
478	3214	3496
479	3222	3491
480	3228	3484
481	3234	3476
482	3241	3469
483	3247	3462
484	3254	3456
485	3260	3448
486	3267	3442
487	3273	3434
488	3279	3427
489	3287	3421
490	3293	3413
491	3300	3407
492	3306	3400
493	3311	3392
494	3319	3386
495	3325	3379
496	3332	3372
497	3338	3365
498	3344	3357
499	3351	3351
500	3356	3342
501	3362	3335
502	3369	3328
503	3374	3321
504	3381	3314
505	3388	3308
506	3394	3300
507	3402	3295
508	3408	3288
509	3415	3281
510	3420	3272
511	3425	3264
512	3431	3257
513	3437	3249
514	3442	3242
515	3450	3236
516	3456	3229
517	3463	3222
518	3469	3215
519	3476	3208
520	3483	3202
521	3487	3193
522	3492	3185
523	3499	3178
524	3505	3171
525	3512	3165
526	3518	3157
527	3524	3150
528	3531	3144
529	3537	3136
530	3544	3130
531	3550	3123
532	3557	3116
533	3564	3110
534	3570	3103
535	3577	3097
536	3583	3089
537	3588	3081
538	3596	3075
539	3600	3067
540	3607	3060
541	3614	3053
542	3620	3046
543	3626	3040
544	3631	3031
545	3636	3023
546	3642	3016
547	3646	3008
548	3651	2999
549	3656	2991
550	3661	2983
551	3665	2975
552	3670	2967
553	3677	2960
554	3681	2951
555	3686	2943
556	3692	2936
557	3697	2928
558	3702	2920
559	3707	2913
560	3713	2905
561	3717	2897
562	3723	2890
563	3728	2882
564	3733	2874
565	3739	2867
566	3744	2859
567	3748	2851
568	3754	2843
569	3759	2836
570	3764	2827
571	3770	2821
572	3776	2814
573	3781	2806
574	3786	2798
575	3791	2791
576	3796	2783
577	3800	2775
578	3806	2767
579	3812	2760
580	3817	2752
581	3823	2746
582	3827	2738
583	3832	2730
584	3838	2723
585	3843	2715
586	3849	2708
587	3855	2701
588	3859	2693
589	3864	2685
590	3869	2678
591	3874	2670
592	3879	2662
593	3884	2655
594	3890	2647
595	3895	2640
596	3900	2633
597	3906	2626
598	3911	2618
599	3917	2611
600	3922	2604
601	3927	2596
602	3931	2588
603	3937	2581
604	3942	2574
605	3947	2566
606	3953	2559
607	3958	2552
608	3963	2544
609	3969	2537
610	3973	2529
611	3978	2522
612	3984	2515
613	3989	2507
614	3993	2500
615	3999	2493
616	4004	2485
617	4008	2477
618	4013	2470
619	4019	2463
620	4024	2455
621	4029	2448
622	4034	2441
623	4039	2433
624	4043	2426
625	4049	2419
626	4054	2411
627	4058	2404
628	4063	2396
629	4070	2390
630	4075	2383
631	4081	2376
632	4086	2369
633	4090	2361
634	4095	2354
635	4100	2346
636	4104	2339
637	4109	2331
638	4115	2325
639	4119	2317
640	4124	2309
641	4129	2302
642	4134	2295
643	4139	2288
644	4144	2281
645	4149	2273
646	4153	2266
647	4158	2259
648	4164	2252
649	4169	2245
650	4174	2237
651	4180	2231
652	4185	2224
653	4190	2217
654	4197	2210
655	4201	2203
656	4206	2196
657	4213	2189
658	4218	2182
659	4222	2175
660	4229	2169
661	4236	2162
662	4241	2156
663	4247	2149
664	4252	2142
665	4257	2135
666	4263	2128
667	4268	2121
668	4273	2114
669	4279	2107
670	4283	2100
671	4288	2093
672	4294	2086
673	4299	2079
674	4303	2072
675	4309	2065
676	4313	2058
677	4317	2050
678	4323	2043
679	4327	2036
680	4332	2029
681	4337	2022
682	4343	2015
683	4347	2008
684	4352	2001
685	4358	1995
686	4364	1988
687	4369	1981
688	4375	1975
689	4380	1968
690	4385	1961
691	4391	1954
692	4396	1947
693	4401	1940
694	4406	1933
695	4411	1927
696	4416	1919
697	4422	1913
698	4427	1906
699	4432	1899
700	4438	1893
701	4443	1886
702	4448	1879
703	4454	1872
704	4458	1865
705	4463	1858
706	4468	1852
707	4473	1845
708	4478	1838
709	4483	1831
710	4489	1824
711	4494	1817
712	4498	1810
713	4504	1804
714	4509	1797
715	4513	1790
716	4518	1783
717	4524	1776
718	4528	1769
719	4533	1763
720	4538	1756
721	4543	1749
722	4548	1742
723	4553	1735
724	4558	1729
725	4562	1722
726	4568	1715
727	4573	1708
728	4578	1701
729	4582	1695
730	4588	1688
731	4593	1681
732	4597	1674
733	4603	1668
734	4608	1661
735	4613	1654
736	4621	1649
737	4625	1642
738	4630	1635
739	4635	1628
740	4640	1622
741	4645	1615
742	4651	1608
743	4655	1602
744	4660	1595
745	4666	1588
746	4671	1582
747	4675	1575
748	4681	1568
749	4687	1562
750	4691	1555
751	4697	1549
752	4702	1542
753	4707	1535
754	4711	1528
755	4716	1522
756	4721	1515
757	4725	1508
758	4730	1502
759	4735	1495
760	4740	1488
761	4746	1482
762	4751	1475
763	4755	1469
764	4760	1462
765	4766	1455
766	4770	1449
767	4775	1442
768	4781	1436
769	4786	1429
770	4790	1422
771	4796	1416
772	4800	1409
773	4805	1403
774	4811	1396
775	4816	1390
776	4821	1383
777	4825	1377
778	4830	1370
779	4835	1363
780	4840	1357
781	4845	1350
782	4849	1344
783	4854	1337
784	4859	1330
785	4865	1324
786	4870	1318
787	4875	1311
788	4880	1305
789	4885	1298
790	4889	1291
791	4894	1285
792	4899	1279
793	4904	1272
794	4911	1266
795	4916	1259
796	4921	1253
797	4926	1247
798	4931	1240
799	4936	1234
800	4942	1227
801	4947	1221
802	4952	1214
803	4957	1208
804	4962	1202
805	4967	1195
806	4973	1189
807	4978	1183
808	4983	1176
809	4988	1170
810	4994	1163
811	4998	1157
812	5005	1151
813	5010	1144
814	5015	1138
815	5020	1132
816	5026	1125
817	5031	1119
818	5036	1113
819	5042	1106
820	5047	1100
821	5052	1094
822	5058	1087
823	5063	1081
824	5068	1075
825	5073	1068
826	5078	1062
827	5082	1055
828	5088	1049
829	5093	1043
830	5098	1036
831	5103	1030
832	5108	1024
833	5113	1017
834	5118	1011
835	5124	1005
836	5128	998
837	5133	992
838	5139	986
839	5144	979
840	5149	973
841	5154	967
842	5158	960
843	5163	954
844	5168	948
845	5173	941
846	5178	935
847	5182	928
848	5188	922
849	5193	916
850	5198	910
851	5203	903
852	5208	897
853	5212	891
854	5218	885
855	5223	878
856	5228	872
857	5234	866
858	5238	859
859	5243	853
860	5248	847
861	5254	841
862	5259	834
863	5263	828
864	5269	822
865	5274	816
866	5279	809
867	5284	803
868	5290	797
869	5295	791
870	5300	785
871	5305	778
872	5310	772
873	5316	766
874	5321	760
875	5326	754
876	5332	747
877	5338	741
878	5342	735
879	5349	729
880	5354	723
881	5359	717
882	5365	710
883	5370	704
884	5376	698
885	5382	692
886	5387	686
887	5393	680
888	5399	674
889	5404	668
890	5409	661
891	5415	655
892	5420	649
893	5424	643
894	5430	637
895	5435	630
896	5440	624
897	5445	618
898	5450	612
899	5455	606
900	5460	599
901	5465	593
902	5469	587
903	5474	581
904	5480	575
905	5485	569
906	5490	562
907	5495	556
908	5500	550
909	5506	544
910	5511	538
911	5516	532
912	5521	526
913	5527	520
914	5533	513
915	5538	507
916	5544	501
917	5548	495
918	5553	489
919	5559	483
920	5564	477
921	5569	471
922	5574	465
923	5579	458
924	5584	452
925	5589	446
926	5595	440
927	5600	434
928	5605	428
929	5611	422
930	5616	416
931	5620	410
932	5626	404
933	5631	397
934	5636	391
935	5641	385
936	5646	379
937	5650	373
938	5655	367
939	5661	361
940	5665	355
941	5670	349
942	5676	343
943	5681	337
944	5686	330
945	5691	324
946	5696	318
947	5701	312
948	5707	306
949	5711	300
950	5716	294
951	5722	288
952	5728	282
953	5732	276
954	5737	270
955	5743	264
956	5748	258
957	5755	252
958	5761	246
959	5766	240
960	5774	234
961	5780	228
962	5787	222
963	5793	216
964	5798	210
965	5805	204
966	5811	198
967	5817	192
968	5824	186
969	5830	180
970	5835	174
971	5840	168
972	5845	162
973	5850	156
974	5855	150
975	5860	144
976	5865	138
977	5870	132
978	5875	126
979	5879	119
980	5884	113
981	5889	107
982	5894	101
983	5898	95
984	5904	89
985	5908	83
986	5913	77
987	5918	71
988	5923	65
989	5928	59
990	5933	53
991	5939	47
992	5944	41
993	5949	35
994	5954	29
995	5960	23
996	5965	17
997	5970	11
998	5975	5
999	5980	0
